stage,variable,bin_left,bin_right,center,category,N_gal_stage,N_gal_usable,N_gal_category_support,N_spaxel_usable,N_spaxel_category,f_gal_usable,occupancy,mean_intensity,typical_median_log_intensity,in_fixed_reliable_range
post-peak,log_sigma_star,9.0,9.25,9.125,ND,13,12,7,38872,4614,0.9230769230769231,0.07994106610165155,2.0062888075762723e+38,38.215854279842965,True
post-peak,log_sigma_star,9.25,9.5,9.375,SF,13,9,0,16317,17,0.6923076923076923,0.0010748123300201513,,,True
post-peak,log_sigma_star,9.25,9.5,9.375,NSF,13,9,9,16317,14946,0.6923076923076923,0.9197895125975979,3.555119005579272e+39,39.40410015271002,True
post-peak,log_sigma_star,9.25,9.5,9.375,ND,13,9,6,16317,1354,0.6923076923076923,0.07913567507238188,3.3291492934496037e+38,38.47603248127217,True
post-peak,log_sigma_star,9.5,9.75,9.625,SF,13,8,0,5858,0,0.6153846153846154,0.0,,,False
post-peak,log_sigma_star,9.5,9.75,9.625,NSF,13,8,8,5858,5573,0.6153846153846154,0.9523077372169413,9.472208410527166e+39,39.571025466614515,False
post-peak,log_sigma_star,9.5,9.75,9.625,ND,13,8,3,5858,285,0.6153846153846154,0.047692262783058686,4.3486128347885126e+38,38.621994569258376,False
post-peak,log_sigma_star,9.75,10.0,9.875,SF,13,7,0,2435,0,0.5384615384615384,0.0,,,False
post-peak,log_sigma_star,9.75,10.0,9.875,NSF,13,7,7,2435,2407,0.5384615384615384,0.9905180911019998,4.406082158712446e+40,40.118590794236155,False
post-peak,log_sigma_star,9.75,10.0,9.875,ND,13,7,0,2435,28,0.5384615384615384,0.009481908898000125,,,False
post-peak,log_sigma_star,10.0,10.25,10.125,SF,13,6,0,985,0,0.46153846153846156,0.0,,,False
post-peak,log_sigma_star,10.0,10.25,10.125,NSF,13,6,6,985,983,0.46153846153846156,0.9986225895316805,7.25090013255641e+40,40.07771291634137,False
post-peak,log_sigma_star,10.0,10.25,10.125,ND,13,6,0,985,2,0.46153846153846156,0.0013774104683195593,,,False
post-peak,log_sigma_star,10.25,10.5,10.375,SF,13,4,0,351,0,0.3076923076923077,0.0,,,False
post-peak,log_sigma_star,10.25,10.5,10.375,NSF,13,4,4,351,351,0.3076923076923077,1.0,2.7572215628957577e+40,40.13815986983329,False
