GALID,stage,variable,bin_left,bin_right,center,category,N_usable,N_category,eligible_usable,category_support,f_category,sum_lha_within_category,lha_mean_within_category,median_log_lha_within_category,N_bpt_common,bpt_common_support,sum_HA6562_within_category,mean_HA6562_within_category,sum_OIII5006_within_category,mean_OIII5006_within_category,sum_NII6583_within_category,mean_NII6583_within_category,sum_SII_SUM_within_category,mean_SII_SUM_within_category,sum_HB4861_within_category,mean_HB4861_within_category,N_log_OIII_Hb,median_log_OIII_Hb,N_log_NII_Ha,median_log_NII_Ha,N_log_SII_Ha,median_log_SII_Ha,N_log_OI_Ha,median_log_OI_Ha,N_sigma_Ha,median_sigma_Ha
NGC4298,close-to-peak,log_sigma_star,9.75,10.0,9.875,ND,0,0,False,False,,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,10.0,10.25,10.125,SF,0,0,False,False,,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,10.0,10.25,10.125,NSF,0,0,False,False,,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,10.0,10.25,10.125,ND,0,0,False,False,,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,10.25,10.5,10.375,SF,0,0,False,False,,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,10.25,10.5,10.375,NSF,0,0,False,False,,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,10.25,10.5,10.375,ND,0,0,False,False,,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,10.5,10.75,10.625,SF,0,0,False,False,,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,10.5,10.75,10.625,NSF,0,0,False,False,,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,10.5,10.75,10.625,ND,0,0,False,False,,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,10.75,11.0,10.875,SF,0,0,False,False,,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,10.75,11.0,10.875,NSF,0,0,False,False,,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,10.75,11.0,10.875,ND,0,0,False,False,,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,11.0,11.25,11.125,SF,0,0,False,False,,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,11.0,11.25,11.125,NSF,0,0,False,False,,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,11.0,11.25,11.125,ND,0,0,False,False,,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,radius_re,0.0,0.25,0.125,SF,6475,3880,True,True,0.5992277992277992,2.645993220390358e+43,6.819570155645252e+39,39.62699994495398,3861,True,2.6375757562575234e+43,6.831328040035025e+39,2.3073992287176406e+42,5.976169978548668e+38,8.162989510464972e+42,2.114216397426825e+39,5.782176908544735e+42,1.4975853168984032e+39,9.222292854047275e+42,2.388576237774482e+39,3861,-0.5539777874946594,3880,-0.4709635376930237,3880,-0.5978474020957947,3251,-1.5105270147323608,3880,31.625547409057617
NGC4298,close-to-peak,radius_re,0.0,0.25,0.125,NSF,6475,2595,True,True,0.40077220077220077,1.2442027931949437e+43,4.79461577339092e+39,39.16808189482075,2577,True,1.2429391667802963e+43,4.823202044161026e+39,1.7560854009078916e+42,6.814456348109785e+38,5.194495045129172e+42,2.015714026049349e+39,3.816527627557593e+42,1.4809963630413632e+39,4.3459690025027565e+42,1.6864450921624976e+39,2577,-0.2676009237766266,2595,-0.2911766469478607,2595,-0.41037002205848694,1786,-1.220628261566162,2595,38.47736740112305
NGC4298,close-to-peak,radius_re,0.0,0.25,0.125,ND,6475,0,True,False,0.0,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,radius_re,0.25,0.5,0.375,SF,19279,15048,True,True,0.7805384096685513,5.178433182327157e+43,3.4412767027692427e+39,39.40817954799778,14177,True,4.995706885394352e+43,3.523811021650809e+39,3.570490315324411e+42,2.518509074786211e+38,1.489717485099932e+43,1.0507988185793412e+39,1.1024372462734552e+43,7.776237894289732e+38,1.7468058596232985e+43,1.232140692405515e+39,14177,-0.6421908140182495,15048,-0.4851484000682831,15048,-0.6025745868682861,8413,-1.5145102739334106,15048,28.72579574584961
NGC4298,close-to-peak,radius_re,0.25,0.5,0.375,NSF,19279,4231,True,True,0.2194615903314487,5.1301776812803945e+42,1.2125213144127617e+39,38.9515023568452,4013,True,4.9880377753405176e+42,1.2429697920110934e+39,1.1075595991951591e+42,2.7599292279969077e+38,2.6995164443459078e+42,6.726928592937722e+38,2.0467901939666935e+42,5.100399187557173e+38,1.7484313668896083e+42,4.356918432318984e+38,4013,-0.2657586336135864,4231,-0.29507172107696533,4231,-0.3887193500995636,1933,-1.1249370574951172,4231,32.961151123046875
NGC4298,close-to-peak,radius_re,0.25,0.5,0.375,ND,19279,0,True,False,0.0,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,radius_re,0.5,0.75,0.625,SF,32355,24736,True,True,0.7645186215422655,8.173508324092825e+43,3.304296702818898e+39,39.23852607253071,20836,True,7.419923438431142e+43,3.561107428696075e+39,4.2369775473309644e+42,2.0334889361350376e+38,2.0755746357375423e+43,9.961483181692947e+38,1.5500702719329732e+43,7.439385063990081e+38,2.59437882462627e+43,1.2451424575860385e+39,20836,-0.6589531302452087,24736,-0.49660176038742065,24736,-0.5839393734931946,9152,-1.525301218032837,24736,28.944520950317383
