stage,variable,center,metric,value,lo,hi,n_support,zero_draw_fraction,nonfinite_draw_fraction
pre-peak,log_sigma_star,8.875,SII_SUM,3.5589324771710605e+39,1.3707041796655223e+39,5.66118496544915e+39,6,0.0,0.0
pre-peak,log_sigma_star,8.875,F_ND,0.005002366046537333,0.0026746193053827833,0.007330112787691883,6,0.0232,0.0
pre-peak,log_sigma_star,9.125,O,0.49580526858757007,0.36167066924069224,0.6394776617689278,6,0.0,0.0
pre-peak,log_sigma_star,9.125,I,0.3159966321720884,0.22249472120809058,0.4302586768893175,5,0.0,0.0
pre-peak,log_sigma_star,9.125,T,0.15667279508684986,0.10088948322436857,0.21315539339377854,6,0.0,0.0
pre-peak,log_sigma_star,9.125,F_SF,0.49580526858757007,0.36167066924069224,0.6394776617689278,6,0.0,0.0
pre-peak,log_sigma_star,9.125,F_NSF,0.5041947314124299,0.36052233823107216,0.6383293307593078,6,0.0,0.0
pre-peak,log_sigma_star,9.125,I_NSF,3.380898216888734e+40,1.6299459676629534e+40,5.004099747678618e+40,6,0.0,0.0
pre-peak,log_sigma_star,9.125,J_NSF,1.4850817444367604e+40,6.843188691158103e+39,2.227280364450771e+40,6,0.0,0.0
pre-peak,log_sigma_star,9.125,HA6562,3.3589745119411717e+40,1.60570837083464e+40,4.99562227793062e+40,6,0.0,0.0
pre-peak,log_sigma_star,9.125,HB4861,1.1744667250707477e+40,5.614366283035117e+39,1.7467212449553743e+40,6,0.0,0.0
pre-peak,log_sigma_star,9.125,OIII5006,9.488543852134762e+39,1.867457281553477e+39,1.701840454456778e+40,6,0.0,0.0
pre-peak,log_sigma_star,9.125,NII6583,9.15735424195236e+39,6.593407751269605e+39,1.1660669050838749e+40,6,0.0,0.0
pre-peak,log_sigma_star,9.125,SII_SUM,7.659530637780718e+39,3.725586008093908e+39,1.1376850221324444e+40,6,0.0,0.0
pre-peak,log_sigma_star,9.125,F_ND,0.0,0.0,0.0,6,1.0,0.0
