zone,time_Myr,D,median_A,SF,NSF,ND,I_SF,I_NSF,A_det,A_SF
inner,432.5,0.0875424236479681,0.0946132831871645,0.06963866917244732,0.9303613308275527,0.0,0.603932521029845,0.194835042473044,0.0,0.33245757635203194
inner,435.0,0.08717842241196525,0.09382811523751906,0.06816750733420818,0.9318324926657918,0.0,0.6031862060388271,0.1939356424585723,0.0,0.33282157758803477
inner,437.5,0.08681593469243007,0.09304946316691709,0.0667213247529308,0.9332786752470692,0.0,0.6024454106483422,0.19303701407943535,0.0,0.33318406530756994
inner,440.0,0.08645495419616389,0.09227727290198515,0.06529985270512972,0.9347001472948703,0.0,0.6017100787840355,0.19213919863177725,0.0,0.33354504580383615
inner,442.5,0.08609547465613512,0.09151149081808897,0.06390282151466453,0.9360971784853355,0.0,0.6009801550579537,0.19124223734847662,0.0,0.33390452534386494
inner,445.0,0.08573748983137053,0.09075206373560946,0.06252996066821093,0.9374700393317891,0.0,0.6002555847591524,0.1903461713885442,0.0,0.3342625101686295
inner,447.5,0.08538099350684679,0.08999893891624956,0.06118099892875306,0.9388190010712469,0.0,0.5995363138444378,0.18945104182652722,0.0,0.33461900649315324
inner,450.0,0.08502597949338264,0.08925206405937193,0.05985566444707424,0.9401443355529258,0.0,0.5988222889292463,0.18855688964192602,0.0,0.3349740205066174
inner,452.5,0.08467244162753144,0.08851138729836691,0.058553684871225586,0.9414463151287744,0.0,0.5981134572786485,0.18766375570862998,0.0,0.3353275583724686
inner,455.0,0.08432037377147412,0.08777685719705065,0.05727478745395187,0.9427252125460481,0.0,0.5974097667984912,0.18677168078437825,0.0,0.33567962622852593
inner,457.5,0.0839697698129127,0.08704842274609316,0.05601869915805824,0.9439813008419418,0.0,0.5967111660266613,0.18588070550025182,0.0,0.33603023018708733
inner,460.0,0.08362062366496406,0.0863260333594759,0.05478514675970125,0.9452148532402987,0.0,0.5960176041244841,0.18499087035020295,0.0,0.336379376335036
inner,462.5,0.08327292926605438,0.08560963887097899,0.053573856949591714,0.9464261430504083,0.0,0.5953290308682326,0.18410221568062876,0.0,0.33672707073394564
inner,465.0,0.08292668057981384,0.08489918953069722,0.05238455643209472,0.9476154435679053,0.0,0.5946453966407705,0.18321478167999417,0.0,0.3370733194201862
