stage,variable,bin_left,bin_right,center,N_gal_stage,N_gal_usable,N_gal_any_SF,N_gal_SF_support,N_spaxel_usable,N_spaxel_SF,f_gal_usable,f_gal_SF_support,occupancy,total_hii,survivor_intensity,in_fixed_reliable_range
pre-peak,radius_re,2.5,2.75,2.625,8,3,2,2,21459,14618,0.375,0.25,0.27771674326697954,0.007023318991130892,0.02528950508532758,False
pre-peak,radius_re,2.75,3.0,2.875,8,2,1,1,11616,9551,0.25,0.125,0.4372768061532827,0.005260292491623568,0.01202966271615977,False
pre-peak,radius_re,3.0,3.25,3.125,8,1,1,1,4734,3321,0.125,0.125,0.7015209125475285,0.005537968952131969,0.007894232164827686,False
pre-peak,radius_re,3.25,3.5,3.375,8,1,1,1,52,52,0.125,0.125,1.0,0.0030939416462878533,0.0030939416462878533,False
pre-peak,radius_re,3.5,3.75,3.625,8,0,0,0,0,0,0.0,0.0,,,,False
pre-peak,radius_re,3.75,4.0,3.875,8,0,0,0,0,0,0.0,0.0,,,,False
pre-peak,radius_re,4.0,4.25,4.125,8,0,0,0,0,0,0.0,0.0,,,,False
pre-peak,radius_re,4.25,4.5,4.375,8,0,0,0,0,0,0.0,0.0,,,,False
pre-peak,radius_re,4.5,4.75,4.625,8,0,0,0,0,0,0.0,0.0,,,,False
pre-peak,radius_re,4.75,5.0,4.875,8,0,0,0,0,0,0.0,0.0,,,,False
pre-peak,radius_re,5.0,5.25,5.125,8,0,0,0,0,0,0.0,0.0,,,,False
pre-peak,radius_re,5.25,5.5,5.375,8,0,0,0,0,0,0.0,0.0,,,,False
pre-peak,radius_re,5.5,5.75,5.625,8,0,0,0,0,0,0.0,0.0,,,,False
pre-peak,radius_re,5.75,6.0,5.875,8,0,0,0,0,0,0.0,0.0,,,,False
pre-peak,radius_re,6.0,6.25,6.125,8,0,0,0,0,0,0.0,0.0,,,,False
pre-peak,radius_re,6.25,6.5,6.375,8,0,0,0,0,0,0.0,0.0,,,,False
pre-peak,radius_re,6.5,6.75,6.625,8,0,0,0,0,0,0.0,0.0,,,,False
pre-peak,radius_re,6.75,7.0,6.875,8,0,0,0,0,0,0.0,0.0,,,,False
pre-peak,radius_re,7.0,7.25,7.125,8,0,0,0,0,0,0.0,0.0,,,,False
pre-peak,radius_re,7.25,7.5,7.375,8,0,0,0,0,0,0.0,0.0,,,,False
pre-peak,radius_re,7.5,7.75,7.625,8,0,0,0,0,0,0.0,0.0,,,,False
pre-peak,radius_re,7.75,8.0,7.875,8,0,0,0,0,0,0.0,0.0,,,,False
