stage,variable,center,metric,delta,lo,hi,n_target,n_pre,finite_draw_fraction
close-to-peak,radius_re,0.875,I,-0.2960749702584844,-0.460640881175918,-0.10219998611529413,4,8,0.9997
close-to-peak,radius_re,0.875,T,-0.4470359688756451,-0.7042426130291733,-0.21762857798085208,5,8,0.9997
close-to-peak,radius_re,0.875,F_SF,-0.15096099861716084,-0.35176136776842304,-0.0059816517310492465,5,8,0.9997
close-to-peak,radius_re,0.875,F_NSF,0.12087335680779876,0.04102551555440764,0.19259053896202083,5,8,1.0
close-to-peak,radius_re,0.875,I_NSF,-0.45699230131681645,-0.7421641278048938,-0.13019029529221912,5,8,1.0
close-to-peak,radius_re,0.875,J_NSF,-0.4146891262825321,-0.7417589264791116,0.005719090524124504,5,8,1.0
close-to-peak,radius_re,0.875,HA6562,-0.4618901025644675,-0.7187481585811994,-0.1750065506889294,5,8,1.0
close-to-peak,radius_re,0.875,HB4861,-0.46106344848719516,-0.7164622890655105,-0.17463958258912898,5,8,1.0
close-to-peak,radius_re,0.875,OIII5006,-0.5118116576603171,-0.7543909262780832,-0.15826345803358835,5,8,1.0
close-to-peak,radius_re,0.875,NII6583,-0.24399900708450417,-0.5192688064392359,-0.026308267600103942,5,8,1.0
close-to-peak,radius_re,0.875,SII_SUM,-0.41330848370129303,-0.6068176017959962,-0.16478648026084927,5,8,1.0
close-to-peak,radius_re,0.875,F_ND,0.17360332702058012,-0.1576372907275636,0.4371066851200846,5,8,0.9996
close-to-peak,radius_re,1.125,O,-0.15980768553483238,-0.36225871033122725,-0.008970398882364934,5,8,0.9999
close-to-peak,radius_re,1.125,I,-0.26398852220474334,-0.43002745628880845,-0.11332389763864288,4,8,0.9999
close-to-peak,radius_re,1.125,T,-0.4237962077395758,-0.690812421272019,-0.22015423773638695,5,8,0.9999
close-to-peak,radius_re,1.125,F_SF,-0.15980768553483238,-0.36225871033122725,-0.008970398882364934,5,8,0.9999
close-to-peak,radius_re,1.125,F_NSF,0.07851463742998521,-0.013790407583467527,0.16720192861208827,5,8,1.0
close-to-peak,radius_re,1.125,I_NSF,-0.466372493187869,-0.7158207499115928,-0.2230938811563479,5,8,1.0
close-to-peak,radius_re,1.125,J_NSF,-0.5132978262624732,-0.801581732435749,-0.16511071430282642,5,8,1.0
close-to-peak,radius_re,1.125,HA6562,-0.43082920292868465,-0.6360397337814677,-0.23326793882517194,5,8,1.0
close-to-peak,radius_re,1.125,HB4861,-0.4298969315723937,-0.6342827409944246,-0.2328238542771146,5,8,1.0
close-to-peak,radius_re,1.125,OIII5006,-0.41371864868124675,-0.6028507757866194,-0.2070285260850693,5,8,1.0
close-to-peak,radius_re,1.125,NII6583,-0.2629448679925588,-0.4821690667746415,-0.07231116138659871,5,8,1.0
close-to-peak,radius_re,1.125,SII_SUM,-0.3656124901780302,-0.518896509268109,-0.20262827837890854,5,8,1.0
close-to-peak,radius_re,1.125,F_ND,0.20442988908964688,-0.07473111995391951,0.5071807239264787,5,8,1.0
close-to-peak,radius_re,1.375,O,-0.27478888909931865,-0.4801639577634857,-0.11797504288267724,5,8,0.9906
close-to-peak,radius_re,1.375,I,-0.2129454399008519,-0.34750126663149605,-0.06404400671645051,3,8,0.9906
close-to-peak,radius_re,1.375,T,-0.48773432900017033,-0.7249894779220922,-0.28119843882842266,5,8,0.9906
close-to-peak,radius_re,1.375,F_SF,-0.27478888909931865,-0.4801639577634857,-0.11797504288267724,5,8,0.9906
close-to-peak,radius_re,1.375,F_NSF,0.05127751240775358,-0.11073681302313444,0.2150206077659121,5,8,1.0
close-to-peak,radius_re,1.375,I_NSF,-0.5103468767938821,-0.6768308918757313,-0.3434808527159137,5,8,1.0
close-to-peak,radius_re,1.375,J_NSF,-0.5721005310008351,-0.8992790860820239,-0.20752478667558766,5,8,1.0
close-to-peak,radius_re,1.375,HA6562,-0.4386600791954862,-0.6516727243491315,-0.27121930461403676,5,8,1.0
close-to-peak,radius_re,1.375,HB4861,-0.4381576079983063,-0.6504723139730675,-0.27094658696825036,5,8,1.0
close-to-peak,radius_re,1.375,OIII5006,-0.26841386452848326,-0.551108433594294,-0.0716283480883655,5,8,1.0
close-to-peak,radius_re,1.375,NII6583,-0.32517896877012475,-0.5239041127671765,-0.15875639263303215,5,8,1.0
close-to-peak,radius_re,1.375,SII_SUM,-0.36212486755037787,-0.5193610944935287,-0.22132834737919582,5,8,1.0
