time_Myr,case1_gas_ratio,case1_SFR_ratio,case2_gas_ratio,case2_SFR_ratio,case3_gas_ratio,case3_SFR_ratio
394.0,0.89473241241863,1.78946482483726,0.4329719838951532,0.8659439677903064,0.23829004703355872,0.26211905173691463
394.5,0.8946140104560869,1.7892280209121738,0.4325593885611637,0.8651187771223274,0.23792454488057757,0.26171699936863535
395.0,0.8944956440088049,1.7889912880176098,0.43214732925261645,0.8642946585052329,0.23755983318378004,0.26131581650215807
395.5,0.8943773130661311,1.7887546261322622,0.43173580527313105,0.8634716105462621,0.2371959102336797,0.2609155012570477
396.0,0.8942590176174158,1.7885180352348315,0.43132481592723176,0.8626496318544635,0.2368327743244871,0.2605160517569358
396.5,0.8941407576520124,1.7882815153040248,0.4309143605203466,0.8618287210406932,0.23647042375410193,0.26011746612951214
397.0,0.8940225331592773,1.7880450663185545,0.4305044383588059,0.8610088767176118,0.23610885682410476,0.25971974250651525
397.5,0.8939043441285706,1.7878086882571411,0.430095048749841,0.860190097499682,0.23574807183974947,0.2593228790237244
398.0,0.893786190549255,1.78757238109851,0.42968619100158334,0.8593723820031667,0.23538806710995502,0.25892687382095053
398.5,0.8936680724106969,1.7873361448213938,0.4292778644230633,0.8585557288461266,0.2350288409472975,0.25853172504202726
399.0,0.8935499897022656,1.7870999794045312,0.4288700683242089,0.8577401366484178,0.2346703916680025,0.2581374308348028
399.5,0.8934319424133337,1.7868638848266674,0.42846280201584447,0.8569256040316889,0.23431271759193684,0.2577439893511305
400.0,0.8933139305332767,1.7866278610665534,0.4280560648096901,0.8561121296193802,0.23395581704260104,0.2573513987468612
400.5,0.8931959540514738,1.7863919081029476,0.42764985601835953,0.8552997120367191,0.23359968834712128,0.25695965718183345
401.0,0.893078012957307,1.786156025914614,0.42724417495536,0.85448834991072,0.23324432983624152,0.2565687628198657
401.5,0.8929601072401617,1.7859202144803235,0.4268390209350905,0.853678041870181,0.23288973984431588,0.25617871382874746
402.0,0.8928422368894263,1.7856844737788526,0.4264343932728404,0.8528687865456808,0.23253591670930066,0.25578950838023073
402.5,0.8927244018944924,1.7854488037889849,0.426030291284789,0.852060582569578,0.2321828587727465,0.2554011446500212
403.0,0.8926066022447552,1.7852132044895104,0.42562671428800375,0.8512534285760075,0.2318305643797908,0.2550136208177699
403.5,0.8924888379296122,1.7849776758592244,0.42522366160043945,0.8504473232008789,0.23147903187914984,0.25462693506706485
404.0,0.8923711089384649,1.7847422178769299,0.4248211325409371,0.8496422650818742,0.23112825962311098,0.2542410855854221
404.5,0.8922534152607178,1.7845068305214355,0.42441912642922236,0.8488382528584447,0.2307782459675252,0.2538560705642777
405.0,0.8921357568857782,1.7842715137715564,0.4240176425859048,0.8480352851718096,0.23042898927179895,0.25347188819897887
405.5,0.8920181338030571,1.7840362676061141,0.42361668033247674,0.8472333606649535,0.23008048789888705,0.2530885366887758
406.0,0.8919005460019682,1.7838010920039364,0.4232162389913118,0.8464324779826236,0.22973274021528442,0.2527060142368129
406.5,0.8917829934719288,1.7835659869438576,0.4228163178856639,0.8456326357713277,0.2293857445910188,0.2523243190501207
407.0,0.891665476202359,1.783330952404718,0.42241691633966655,0.8448338326793331,0.22903949939964302,0.25194344933960733
407.5,0.8915479941826824,1.7830959883653648,0.4220180336783308,0.8440360673566616,0.22869400301822726,0.25156340332005
