b,SFR_Msun_per_yr,epsilon_per_Gyr,gas_to_stellar_mass,Z_mass_fraction,age_Gyr,inflow_Msun_per_yr
1.000000000000000000e+00,3.996889385153335184e+01,7.974842767295597934e-01,9.999999999999998890e-01,9.449665407536783288e-03,3.226629637842537868e+00,4.327005554522360598e+01
1.000000000000000000e+00,4.009497869018172622e+01,8.000000000000000444e-01,1.000000000000000000e+00,9.449665407536783288e-03,3.216483003761271497e+00,4.340655414315807548e+01
1.500000000000000000e+00,2.004748934509086311e+01,3.577708763999664088e-01,1.118033988749894903e+00,9.025717839881000626e-03,6.566589738838470858e+00,2.216251696403512028e+01
1.500000000000000000e+00,2.017357418373923394e+01,3.611513747108511807e-01,1.114534656257938350e+00,9.037887053330665929e-03,6.521817647457925915e+00,2.228777041357559696e+01
1.500000000000000000e+00,2.029965902238760123e+01,3.645424536542488103e-01,1.111067977078558755e+00,9.049967044318303275e-03,6.477624612856672570e+00,2.241300438787587623e+01
1.500000000000000000e+00,2.042574386103597206e+01,3.679440803195506704e-01,1.107633446520938092e+00,9.061958881378597008e-03,6.433999650304563112e+00,2.253821922063778871e+01
1.500000000000000000e+00,2.055182869968434289e+01,3.713562221013530507e-01,1.104230570747900098e+00,9.073863614496040578e-03,6.390932049095991552e+00,2.266341523926113766e+01
1.500000000000000000e+00,2.067791353833271373e+01,3.747788466947689079e-01,1.100858866477642195e+00,9.085682275531628202e-03,6.348411364093848874e+00,2.278859276499206743e+01
1.500000000000000000e+00,2.080399837698108456e+01,3.782119220908394808e-01,1.097517860695421454e+00,9.097415878637339290e-03,6.306427407583908185e+00,2.291375211306711179e+01
1.500000000000000000e+00,2.093008321562945184e+01,3.816554165720437708e-01,1.094207090374809122e+00,9.109065420658766024e-03,6.264970241426374820e+00,2.303889359285316729e+01
1.500000000000000000e+00,2.105616805427782268e+01,3.851092987079027252e-01,1.090926102208138682e+00,9.120631881526328200e-03,6.224030169492110076e+00,2.316401750798339165e+01
1.500000000000000000e+00,2.118225289292619351e+01,3.885735373506754575e-01,1.087674452345789966e+00,9.132116224635446547e-03,6.183597730371555024e+00,2.328912415648930079e+01
1.500000000000000000e+00,2.130833773157456434e+01,3.920481016311455069e-01,1.084451706143975791e+00,9.143519397216040567e-03,6.143663690344945749e+00,2.341421383092910702e+01
1.500000000000000000e+00,2.143442257022293518e+01,3.955329609544946390e-01,1.081257437920694064e+00,9.154842330691742927e-03,6.104219036603029558e+00,2.353928681851247262e+01
1.500000000000000000e+00,2.156050740887130246e+01,3.990280849962613008e-01,1.078091230719546267e+00,9.166085941029132253e-03,6.065254970707903759e+00,2.366434340122177815e+01
1.500000000000000000e+00,2.168659224751967329e+01,4.025334436983821762e-01,1.074952676081116332e+00,9.177251129077350356e-03,6.026762902284168888e+00,2.378938385593001215e+01
1.500000000000000000e+00,2.181267708616804413e+01,4.060490072653145099e-01,1.071841373821629695e+00,9.188338780898397049e-03,5.988734442930962132e+00,2.391440845451541364e+01
1.500000000000000000e+00,2.193876192481641496e+01,4.095747461602368689e-01,1.068756931818617417e+00,9.199349768088426957e-03,5.951161400345961638e+00,2.403941746397296342e+01
1.500000000000000000e+00,2.206484676346478579e+01,4.131106311013262311e-01,1.065698965803329346e+00,9.210284948090332810e-03,5.914035772652782796e+00,2.416441114652283773e+01
1.500000000000000000e+00,2.219093160211315663e+01,4.166566330581100708e-01,1.062667099159639861e+00,9.221145164497897978e-03,5.877349742923623666e+00,2.428938975971589898e+01
1.500000000000000000e+00,2.231701644076152391e+01,4.202127232478908847e-01,1.059660962729213507e+00,9.231931247351801012e-03,5.841095673889397766e+00,2.441435355653635852e+01
1.500000000000000000e+00,2.244310127940989474e+01,4.237788731322412739e-01,1.056680194622698910e+00,9.242644013427718519e-03,5.805266102829891750e+00,2.453930278550166122e+01
1.500000000000000000e+00,2.256918611805826558e+01,4.273550544135685803e-01,1.053724440036732934e+00,9.253284266516786580e-03,5.769853736636869179e+00,2.466423769075970185e+01
1.500000000000000000e+00,2.269527095670663641e+01,4.309412390317462482e-01,1.050793351076541038e+00,9.263852797698673980e-03,5.734851447043351591e+00,2.478915851218346589e+01
1.500000000000000000e+00,2.282135579535500725e+01,4.345373991608111885e-01,1.047886586583940183e+00,9.274350385607487562e-03,5.700252266012578950e+00,2.491406548546316202e+01
1.500000000000000000e+00,2.294744063400337453e+01,4.381435072057248692e-01,1.045003811970543595e+00,9.284777796690719606e-03,5.666049381280468644e+00,2.503895884219589618e+01
1.500000000000000000e+00,2.307352547265174536e+01,4.417595357991968008e-01,1.042144699055985946e+00,9.295135785461507844e-03,5.632236132045676413e+00,2.516383880997308964e+01
