log_Sigma_M,log_Sigma_SFR,O_H,Delta_log_Sigma_SFR,Delta_O_H
7.654651312359805,-3.4264149388913117,8.54459433775219,-0.9039293139389146,0.0038146763491901936
7.654651312359805,-3.4264149388913117,8.54459433775219,-0.9039293139389146,0.0038146763491901936
7.773974440600194,-3.4080130301311473,8.514414531325839,-0.8855274051787503,-0.02636513007716168
7.773974440600194,-3.4080130301311473,8.514414531325839,-0.8855274051787503,-0.02636513007716168
7.773974440600194,-3.4080130301311473,8.514414531325839,-0.8855274051787503,-0.02636513007716168
7.773974440600194,-3.4080130301311473,8.514414531325839,-0.8855274051787503,-0.02636513007716168
7.773974440600194,-3.4080130301311473,8.514414531325839,-0.8855274051787503,-0.02636513007716168
7.773974440600194,-3.4080130301311473,8.514414531325839,-0.8855274051787503,-0.02636513007716168
7.773974440600194,-3.4080130301311473,8.514414531325839,-0.8855274051787503,-0.02636513007716168
7.773974440600194,-3.4080130301311473,8.514414531325839,-0.8855274051787503,-0.02636513007716168
7.773974440600194,-3.4080130301311473,8.514414531325839,-0.8855274051787503,-0.02636513007716168
7.773974440600194,-3.4080130301311473,8.514414531325839,-0.8855274051787503,-0.02636513007716168
7.773974440600194,-3.4080130301311473,8.514414531325839,-0.8855274051787503,-0.02636513007716168
7.7493118916917165,-3.4007523885443836,8.4816968754253,-0.8782667635919865,-0.05908278597770078
7.7493118916917165,-3.4007523885443836,8.4816968754253,-0.8782667635919865,-0.05908278597770078
7.7493118916917165,-3.4007523885443836,8.4816968754253,-0.8782667635919865,-0.05908278597770078
7.7493118916917165,-3.4007523885443836,8.4816968754253,-0.8782667635919865,-0.05908278597770078
7.7493118916917165,-3.4007523885443836,8.4816968754253,-0.8782667635919865,-0.05908278597770078
7.7493118916917165,-3.4007523885443836,8.4816968754253,-0.8782667635919865,-0.05908278597770078
7.7493118916917165,-3.4007523885443836,8.4816968754253,-0.8782667635919865,-0.05908278597770078
7.7493118916917165,-3.4007523885443836,8.4816968754253,-0.8782667635919865,-0.05908278597770078
7.7493118916917165,-3.4007523885443836,8.4816968754253,-0.8782667635919865,-0.05908278597770078
7.7493118916917165,-3.4007523885443836,8.4816968754253,-0.8782667635919865,-0.05908278597770078
7.7493118916917165,-3.4007523885443836,8.4816968754253,-0.8782667635919865,-0.05908278597770078
7.7493118916917165,-3.4007523885443836,8.4816968754253,-0.8782667635919865,-0.05908278597770078
7.7493118916917165,-3.4007523885443836,8.4816968754253,-0.8782667635919865,-0.05908278597770078
7.687001930573297,-3.3852818366993804,8.49591566583249,-0.8627962117469834,-0.044863995570510795
7.687001930573297,-3.3852818366993804,8.49591566583249,-0.8627962117469834,-0.044863995570510795
7.687001930573297,-3.3852818366993804,8.49591566583249,-0.8627962117469834,-0.044863995570510795
7.687001930573297,-3.3852818366993804,8.49591566583249,-0.8627962117469834,-0.044863995570510795
7.687001930573297,-3.3852818366993804,8.49591566583249,-0.8627962117469834,-0.044863995570510795
7.687001930573297,-3.3852818366993804,8.49591566583249,-0.8627962117469834,-0.044863995570510795
7.687001930573297,-3.3852818366993804,8.49591566583249,-0.8627962117469834,-0.044863995570510795
7.687001930573297,-3.3852818366993804,8.49591566583249,-0.8627962117469834,-0.044863995570510795
7.687001930573297,-3.3852818366993804,8.49591566583249,-0.8627962117469834,-0.044863995570510795
7.687001930573297,-3.3852818366993804,8.49591566583249,-0.8627962117469834,-0.044863995570510795
7.687001930573297,-3.3852818366993804,8.49591566583249,-0.8627962117469834,-0.044863995570510795
7.687001930573297,-3.3852818366993804,8.49591566583249,-0.8627962117469834,-0.044863995570510795
7.687001930573297,-3.3852818366993804,8.49591566583249,-0.8627962117469834,-0.044863995570510795
7.687001930573297,-3.3852818366993804,8.49591566583249,-0.8627962117469834,-0.044863995570510795
7.687001930573297,-3.3852818366993804,8.49591566583249,-0.8627962117469834,-0.044863995570510795
7.687001930573297,-3.3852818366993804,8.49591566583249,-0.8627962117469834,-0.044863995570510795
7.687001930573297,-3.3852818366993804,8.49591566583249,-0.8627962117469834,-0.044863995570510795
7.687001930573297,-3.3852818366993804,8.49591566583249,-0.8627962117469834,-0.044863995570510795
7.687001930573297,-3.3852818366993804,8.49591566583249,-0.8627962117469834,-0.044863995570510795
7.760129569470572,-3.3788564466336806,8.483233700221145,-0.8563708216812835,-0.057545961181855176
7.760129569470572,-3.3788564466336806,8.483233700221145,-0.8563708216812835,-0.057545961181855176
7.760129569470572,-3.3788564466336806,8.483233700221145,-0.8563708216812835,-0.057545961181855176
7.760129569470572,-3.3788564466336806,8.483233700221145,-0.8563708216812835,-0.057545961181855176
7.760129569470572,-3.3788564466336806,8.483233700221145,-0.8563708216812835,-0.057545961181855176
7.760129569470572,-3.3788564466336806,8.483233700221145,-0.8563708216812835,-0.057545961181855176
7.823858036123345,-3.3405780643789598,8.538197356087732,-0.8180924394265627,-0.002582305315268485
7.823858036123345,-3.3405780643789598,8.538197356087732,-0.8180924394265627,-0.002582305315268485
7.823858036123345,-3.3405780643789598,8.538197356087732,-0.8180924394265627,-0.002582305315268485
7.823858036123345,-3.3405780643789598,8.538197356087732,-0.8180924394265627,-0.002582305315268485
7.823858036123345,-3.3405780643789598,8.538197356087732,-0.8180924394265627,-0.002582305315268485
7.823858036123345,-3.3405780643789598,8.538197356087732,-0.8180924394265627,-0.002582305315268485
7.823858036123345,-3.3405780643789598,8.538197356087732,-0.8180924394265627,-0.002582305315268485
7.823858036123345,-3.3405780643789598,8.538197356087732,-0.8180924394265627,-0.002582305315268485
7.823858036123345,-3.3405780643789598,8.538197356087732,-0.8180924394265627,-0.002582305315268485
7.823858036123345,-3.3405780643789598,8.538197356087732,-0.8180924394265627,-0.002582305315268485
7.769724879234613,-3.33124491950636,8.48869858839379,-0.8087592945539628,-0.0520810730092105
7.769724879234613,-3.33124491950636,8.48869858839379,-0.8087592945539628,-0.0520810730092105
