stage,variable,bin_left,bin_right,center,category,N_gal_usable,j_mean,in_fixed_reliable_range
post-peak,log_sigma_star,7.25,7.5,7.375,NSF,11,2.835906016292239e+36,True
post-peak,log_sigma_star,7.25,7.5,7.375,ND,11,1.366594178735304e+37,True
post-peak,log_sigma_star,7.5,7.75,7.625,SF,13,2.9634755826752354e+37,True
post-peak,log_sigma_star,7.5,7.75,7.625,NSF,13,4.688062183613612e+36,True
post-peak,log_sigma_star,7.5,7.75,7.625,ND,13,1.5820393968912157e+37,True
post-peak,log_sigma_star,7.75,8.0,7.875,SF,13,4.267228125769385e+37,True
post-peak,log_sigma_star,7.75,8.0,7.875,NSF,13,1.391111102382164e+37,True
post-peak,log_sigma_star,7.75,8.0,7.875,ND,13,1.7783251865269048e+37,True
post-peak,log_sigma_star,8.0,8.25,8.125,SF,13,2.1545429198010613e+38,True
post-peak,log_sigma_star,8.0,8.25,8.125,NSF,13,6.131873358774498e+37,True
post-peak,log_sigma_star,8.0,8.25,8.125,ND,13,1.823060848856395e+37,True
post-peak,log_sigma_star,8.25,8.5,8.375,SF,13,9.972904801098531e+38,True
post-peak,log_sigma_star,8.25,8.5,8.375,NSF,13,2.1237102692451987e+38,True
post-peak,log_sigma_star,8.25,8.5,8.375,ND,13,1.1712568866833885e+37,True
post-peak,log_sigma_star,8.5,8.75,8.625,SF,13,2.2260162745633757e+39,True
post-peak,log_sigma_star,8.5,8.75,8.625,NSF,13,5.198286985210856e+38,True
post-peak,log_sigma_star,8.5,8.75,8.625,ND,13,7.164000131911406e+36,True
post-peak,log_sigma_star,8.75,9.0,8.875,SF,13,4.7523647454320294e+39,True
post-peak,log_sigma_star,8.75,9.0,8.875,NSF,13,1.0880765050700171e+39,True
post-peak,log_sigma_star,8.75,9.0,8.875,ND,13,7.676542060469162e+36,True
post-peak,log_sigma_star,9.0,9.25,9.125,SF,12,5.785178917832651e+39,True
post-peak,log_sigma_star,9.0,9.25,9.125,NSF,12,2.186469852926818e+39,True
post-peak,log_sigma_star,9.0,9.25,9.125,ND,12,1.3090606167982184e+37,True
post-peak,log_sigma_star,9.25,9.5,9.375,SF,9,4.49463086823838e+37,True
post-peak,log_sigma_star,9.25,9.5,9.375,NSF,9,3.4012587180311557e+39,True
post-peak,log_sigma_star,9.25,9.5,9.375,ND,9,2.1865021071307827e+37,True
post-peak,log_sigma_star,9.5,9.75,9.625,SF,8,0.0,False
post-peak,log_sigma_star,9.5,9.75,9.625,NSF,8,9.049213274712443e+39,False
post-peak,log_sigma_star,9.5,9.75,9.625,ND,8,2.032404963700208e+37,False
post-peak,log_sigma_star,9.75,10.0,9.875,SF,7,0.0,False
post-peak,log_sigma_star,9.75,10.0,9.875,NSF,7,4.4014065193193735e+40,False
post-peak,log_sigma_star,9.75,10.0,9.875,ND,7,6.10059356669455e+36,False
post-peak,log_sigma_star,10.0,10.25,10.125,SF,6,0.0,False
post-peak,log_sigma_star,10.0,10.25,10.125,NSF,6,7.25020422851161e+40,False
post-peak,log_sigma_star,10.0,10.25,10.125,ND,6,1.549159615022991e+36,False
post-peak,log_sigma_star,10.25,10.5,10.375,SF,4,0.0,False
post-peak,log_sigma_star,10.25,10.5,10.375,NSF,4,2.7572215628957577e+40,False
post-peak,log_sigma_star,10.25,10.5,10.375,ND,4,0.0,False
post-peak,log_sigma_star,10.5,10.75,10.625,SF,1,0.0,False
post-peak,log_sigma_star,10.5,10.75,10.625,NSF,1,1.8676340481667036e+41,False
post-peak,log_sigma_star,10.5,10.75,10.625,ND,1,0.0,False
post-peak,log_sigma_star,10.75,11.0,10.875,SF,0,,False
post-peak,log_sigma_star,10.75,11.0,10.875,NSF,0,,False
post-peak,log_sigma_star,10.75,11.0,10.875,ND,0,,False
post-peak,log_sigma_star,11.0,11.25,11.125,SF,0,,False
post-peak,log_sigma_star,11.0,11.25,11.125,NSF,0,,False
post-peak,log_sigma_star,11.0,11.25,11.125,ND,0,,False
post-peak,radius_re,0.0,0.25,0.125,SF,13,3.181532007423438e+39,True
post-peak,radius_re,0.0,0.25,0.125,NSF,13,1.0539668362590964e+40,True
post-peak,radius_re,0.0,0.25,0.125,ND,13,1.0143339371285166e+37,True
post-peak,radius_re,0.25,0.5,0.375,SF,13,1.2579686353513127e+39,True
post-peak,radius_re,0.25,0.5,0.375,NSF,13,1.117917253981309e+39,True
post-peak,radius_re,0.25,0.5,0.375,ND,13,9.787482646548263e+36,True
post-peak,radius_re,0.5,0.75,0.625,SF,13,1.1858195302005847e+39,True
post-peak,radius_re,0.5,0.75,0.625,NSF,13,4.924820144410164e+38,True
post-peak,radius_re,0.5,0.75,0.625,ND,13,1.1338819014757376e+37,True
post-peak,radius_re,0.75,1.0,0.875,SF,13,5.836196650172199e+38,True
post-peak,radius_re,0.75,1.0,0.875,NSF,13,2.6898494255562416e+38,True
