stage,variable,center,metric,delta,lo,hi,n_target,n_pre,finite_draw_fraction
close-to-peak,log_sigma_star,7.625,OIII5006,-0.254114070177863,-0.43526180958483707,-0.10694013163528213,5,8,1.0
close-to-peak,log_sigma_star,7.625,NII6583,-0.17103510136956146,-0.30910634044465296,-0.052261921835580843,5,8,1.0
close-to-peak,log_sigma_star,7.625,SII_SUM,-0.21219679525209756,-0.30955060153950026,-0.12885919391400194,5,8,1.0
close-to-peak,log_sigma_star,7.625,F_ND,0.4042845923556455,0.2191945197788786,0.6423405200502308,5,8,1.0
close-to-peak,log_sigma_star,7.875,O,-0.18043505659203884,-0.42226816383379095,-0.01879898981860014,5,8,0.9997
close-to-peak,log_sigma_star,7.875,I,-0.1214808532643663,-0.2835903783396739,-0.005926366350134645,4,8,0.9997
close-to-peak,log_sigma_star,7.875,T,-0.30191590985640504,-0.6368921808137098,-0.08425582114513734,5,8,0.9997
close-to-peak,log_sigma_star,7.875,F_SF,-0.18043505659203884,-0.42226816383379095,-0.01879898981860014,5,8,0.9997
close-to-peak,log_sigma_star,7.875,F_NSF,-0.10289101533092665,-0.18814386153237864,-0.005991686725438467,5,8,1.0
close-to-peak,log_sigma_star,7.875,I_NSF,-0.3349922870987072,-0.44735910437049514,-0.22837031302549776,5,8,1.0
close-to-peak,log_sigma_star,7.875,J_NSF,-0.49457364481644106,-0.636137363220696,-0.31345755207542114,5,8,1.0
close-to-peak,log_sigma_star,7.875,HA6562,-0.2973943553930951,-0.4092810698175947,-0.20375432918582362,5,8,1.0
close-to-peak,log_sigma_star,7.875,HB4861,-0.29640483038551224,-0.4074224052429082,-0.20340409690349162,5,8,1.0
close-to-peak,log_sigma_star,7.875,OIII5006,-0.3204263685927131,-0.454896345343607,-0.19722428677633133,5,8,1.0
close-to-peak,log_sigma_star,7.875,NII6583,-0.17860196315383092,-0.2949765685203431,-0.0772904912357683,5,8,1.0
close-to-peak,log_sigma_star,7.875,SII_SUM,-0.23991940108422938,-0.32243882245394756,-0.16424341939800344,5,8,1.0
close-to-peak,log_sigma_star,7.875,F_ND,0.4966318155797736,0.24719542894030438,0.8214294338226089,5,8,1.0
close-to-peak,log_sigma_star,8.125,O,-0.12731707909664927,-0.32306204640787933,0.012972455952008674,5,8,1.0
close-to-peak,log_sigma_star,8.125,I,-0.15344000259226553,-0.2791236485686869,-0.0486268084828607,5,8,1.0
close-to-peak,log_sigma_star,8.125,T,-0.28075708168891444,-0.5488002970307588,-0.0900349452317264,5,8,1.0
close-to-peak,log_sigma_star,8.125,F_SF,-0.12731707909664927,-0.32306204640787933,0.012972455952008674,5,8,1.0
close-to-peak,log_sigma_star,8.125,F_NSF,0.03255157695484118,-0.08352615845865652,0.1351913966225756,5,8,1.0
close-to-peak,log_sigma_star,8.125,I_NSF,-0.3214915686183559,-0.4549442107042824,-0.18365405016473518,5,8,1.0
close-to-peak,log_sigma_star,8.125,J_NSF,-0.4195664025070016,-0.5776801877087362,-0.19997349243932666,5,8,1.0
close-to-peak,log_sigma_star,8.125,HA6562,-0.31333781842079134,-0.43455366271681894,-0.1920031231972962,5,8,1.0
close-to-peak,log_sigma_star,8.125,HB4861,-0.3126397764872877,-0.4334601952118567,-0.19179588119510188,5,8,1.0
close-to-peak,log_sigma_star,8.125,OIII5006,-0.3855456756727733,-0.4979748390312966,-0.2495046394644737,5,8,1.0
close-to-peak,log_sigma_star,8.125,NII6583,-0.1848745240630194,-0.2937347991847514,-0.08480343138596852,5,8,1.0
close-to-peak,log_sigma_star,8.125,SII_SUM,-0.26109544269989016,-0.3599100259395567,-0.15901378821051254,5,8,1.0
close-to-peak,log_sigma_star,8.125,F_ND,0.4408340294103582,0.13281257533473578,0.7730353691419752,5,8,0.9965
close-to-peak,log_sigma_star,8.375,O,-0.028452480057736956,-0.15976230058265373,0.08835912774536454,5,8,1.0
close-to-peak,log_sigma_star,8.375,I,-0.13952293522061,-0.272115236799279,-0.018793545946536986,5,8,1.0
close-to-peak,log_sigma_star,8.375,T,-0.16797541527834703,-0.3480430148353024,-0.013893079005798562,5,8,1.0
close-to-peak,log_sigma_star,8.375,F_SF,-0.028452480057736956,-0.15976230058265373,0.08835912774536454,5,8,1.0
close-to-peak,log_sigma_star,8.375,F_NSF,0.002806926093680273,-0.11296331356595908,0.1142290403320014,5,8,1.0
close-to-peak,log_sigma_star,8.375,I_NSF,-0.3070662162832747,-0.45297809463426575,-0.12266496892574709,5,8,1.0
close-to-peak,log_sigma_star,8.375,J_NSF,-0.3740051620977667,-0.5450421088901183,-0.09777179866673294,5,8,1.0
close-to-peak,log_sigma_star,8.375,HA6562,-0.2994761377843318,-0.43898001497319394,-0.12702355754940384,5,8,1.0
close-to-peak,log_sigma_star,8.375,HB4861,-0.2989149938994444,-0.4381785864547345,-0.12641922634452357,5,8,1.0
close-to-peak,log_sigma_star,8.375,OIII5006,-0.4162176119995493,-0.5590272604090413,-0.2103222636263581,5,8,1.0
close-to-peak,log_sigma_star,8.375,NII6583,-0.15244134163855705,-0.2599628204607529,-0.04120860620905036,5,8,1.0
close-to-peak,log_sigma_star,8.375,SII_SUM,-0.25336337654783847,-0.37279584085409284,-0.10699371952347095,5,8,1.0
close-to-peak,log_sigma_star,8.375,F_ND,0.2132596142366594,-0.4677166347067647,0.568996719260063,5,8,0.9866
close-to-peak,log_sigma_star,8.625,O,0.07668051574818527,-0.07583592259856176,0.23870493659469189,5,7,1.0
close-to-peak,log_sigma_star,8.625,I,-0.16431919066897827,-0.47460867404093043,0.013929208068762394,5,7,1.0
