stage,variable,center,metric,value,lo,hi,n_support,zero_draw_fraction,nonfinite_draw_fraction
pre-peak,log_sigma_star,8.375,OIII5006,5.0793974851423675e+38,3.1452816632099724e+38,6.889786123704097e+38,8,0.0,0.0
pre-peak,log_sigma_star,8.375,NII6583,6.332960677143958e+38,5.1559271597974855e+38,7.563871903997693e+38,8,0.0,0.0
pre-peak,log_sigma_star,8.375,SII_SUM,7.48659722086726e+38,5.4512123784919794e+38,9.506557460339036e+38,8,0.0,0.0
pre-peak,log_sigma_star,8.375,F_ND,0.054189128406045756,0.028556450052715777,0.07982180675937572,8,0.0035,0.0
pre-peak,log_sigma_star,8.625,O,0.49856635388581955,0.36102059861149666,0.6352942397068816,7,0.0,0.0
pre-peak,log_sigma_star,8.625,I,0.09122052464085469,0.06956584994979126,0.11156627131934965,7,0.0,0.0
pre-peak,log_sigma_star,8.625,T,0.04547948436974248,0.03004485234936058,0.061078762605357065,7,0.0,0.0
pre-peak,log_sigma_star,8.625,F_SF,0.49856635388581955,0.36102059861149666,0.6352942397068816,7,0.0,0.0
pre-peak,log_sigma_star,8.625,F_NSF,0.46868669982232997,0.34807529818525157,0.5904933255020982,7,0.0,0.0
pre-peak,log_sigma_star,8.625,I_NSF,3.511633016203135e+39,1.5328410215501303e+39,5.376767230733974e+39,6,0.0,0.0
pre-peak,log_sigma_star,8.625,J_NSF,1.1652337542119347e+39,5.476767419884505e+38,1.7543606916620538e+39,7,0.0,0.0
pre-peak,log_sigma_star,8.625,HA6562,3.5575921495266896e+39,1.5907441964724352e+39,5.413340073432475e+39,6,0.0,0.0
pre-peak,log_sigma_star,8.625,HB4861,1.2441477556029795e+39,5.564473337503911e+38,1.892845613226789e+39,6,0.0,0.0
pre-peak,log_sigma_star,8.625,OIII5006,1.1169751648007082e+39,4.152369703381504e+38,1.7935956454641967e+39,6,0.0,0.0
pre-peak,log_sigma_star,8.625,NII6583,1.3271943498121344e+39,9.866750351461658e+38,1.6722085454569363e+39,6,0.0,0.0
pre-peak,log_sigma_star,8.625,SII_SUM,1.3422722214093168e+39,6.389214230723279e+38,1.9997857027633886e+39,6,0.0,0.0
pre-peak,log_sigma_star,8.625,F_ND,0.03274694629185039,0.017335660267597433,0.048134494793840334,7,0.0035,0.0
pre-peak,log_sigma_star,8.875,O,0.4584053270021695,0.30823386573513795,0.6061484760957127,6,0.0,0.0
pre-peak,log_sigma_star,8.875,I,0.178170877022623,0.12038477504715792,0.24389168650084075,5,0.0,0.0
pre-peak,log_sigma_star,8.875,T,0.08167447914381883,0.04857790000538803,0.11426161669719075,6,0.0,0.0
pre-peak,log_sigma_star,8.875,F_SF,0.4584053270021695,0.30823386573513795,0.6061484760957127,6,0.0,0.0
pre-peak,log_sigma_star,8.875,F_NSF,0.5365923069512931,0.39000234064333483,0.6838236165849945,6,0.0,0.0
pre-peak,log_sigma_star,8.875,I_NSF,1.2509431885241391e+40,4.663736406010493e+39,1.9941028428565051e+40,6,0.0,0.0
pre-peak,log_sigma_star,8.875,J_NSF,4.7366675489746074e+39,1.760310905512186e+39,7.461117367424322e+39,6,0.0,0.0
pre-peak,log_sigma_star,8.875,HA6562,1.2395989880700807e+40,4.5302423488980725e+39,1.9870097236942783e+40,6,0.0,0.0
pre-peak,log_sigma_star,8.875,HB4861,4.3344087177558805e+39,1.58401052497381e+39,6.947604444346895e+39,6,0.0,0.0
pre-peak,log_sigma_star,8.875,OIII5006,3.772641183979002e+39,8.400247040292447e+38,6.65754088669618e+39,6,0.0,0.0
pre-peak,log_sigma_star,8.875,NII6583,3.639792755169043e+39,2.3556774919551637e+39,4.917688725095714e+39,6,0.0,0.0
pre-peak,log_sigma_star,8.875,SII_SUM,3.5589324771710605e+39,1.365833083026632e+39,5.64583791148756e+39,6,0.0,0.0
pre-peak,log_sigma_star,8.875,F_ND,0.005002366046537333,0.0026746193053827833,0.007330112787691884,6,0.022,0.0
pre-peak,log_sigma_star,9.125,O,0.49580526858757007,0.35907380343874484,0.6316869147564793,6,0.0,0.0
pre-peak,log_sigma_star,9.125,I,0.3159966321720884,0.22249472120809058,0.43082482162608543,5,0.0,0.0
pre-peak,log_sigma_star,9.125,T,0.15667279508684986,0.10035874095659673,0.2122632264481403,6,0.0,0.0
pre-peak,log_sigma_star,9.125,F_SF,0.49580526858757007,0.35907380343874484,0.6316869147564793,6,0.0,0.0
pre-peak,log_sigma_star,9.125,F_NSF,0.5041947314124299,0.3683130852435206,0.6409261965612552,6,0.0,0.0
pre-peak,log_sigma_star,9.125,I_NSF,3.380898216888734e+40,1.6360064442999897e+40,4.999818027353064e+40,6,0.0,0.0
pre-peak,log_sigma_star,9.125,J_NSF,1.4850817444367604e+40,6.867757652903944e+39,2.2273343363379364e+40,6,0.0,0.0
pre-peak,log_sigma_star,9.125,HA6562,3.3589745119411717e+40,1.6129005027644446e+40,4.976656221220149e+40,6,0.0,0.0
pre-peak,log_sigma_star,9.125,HB4861,1.1744667250707477e+40,5.639513211747316e+39,1.740089587839211e+40,6,0.0,0.0
pre-peak,log_sigma_star,9.125,OIII5006,9.488543852134762e+39,1.8641163718913794e+39,1.6997209547472158e+40,6,0.0,0.0
pre-peak,log_sigma_star,9.125,NII6583,9.15735424195236e+39,6.601768984880263e+39,1.166749398143448e+40,6,0.0,0.0
pre-peak,log_sigma_star,9.125,SII_SUM,7.659530637780718e+39,3.7255860080939075e+39,1.137588370711485e+40,6,0.0,0.0
pre-peak,log_sigma_star,9.125,F_ND,0.0,0.0,0.0,6,1.0,0.0
pre-peak,log_sigma_star,9.375,O,0.4259749194327956,0.33105737936632634,0.5200790291249849,6,0.0,0.0
pre-peak,log_sigma_star,9.375,I,0.5355820793649233,0.3219902137874808,0.7614318656694791,5,0.0,0.0
pre-peak,log_sigma_star,9.375,T,0.22814453310712232,0.1320810866450988,0.3212013192017423,6,0.0,0.0
pre-peak,log_sigma_star,9.375,F_SF,0.4259749194327956,0.33105737936632634,0.5200790291249849,6,0.0,0.0
pre-peak,log_sigma_star,9.375,F_NSF,0.5740250805672044,0.47992097087501495,0.6689426206336737,6,0.0,0.0
pre-peak,log_sigma_star,9.375,I_NSF,1.0082193549341338e+41,5.044396368269589e+40,1.488328407993762e+41,6,0.0,0.0
pre-peak,log_sigma_star,9.375,J_NSF,5.824451469392089e+40,3.128343143861135e+40,8.375780469145848e+40,6,0.0,0.0
pre-peak,log_sigma_star,9.375,HA6562,1.007171415099887e+41,5.031821090258627e+40,1.485564288308069e+41,6,0.0,0.0
pre-peak,log_sigma_star,9.375,HB4861,3.5215783744751243e+40,1.75937800358693e+40,5.194280728349886e+40,6,0.0,0.0
pre-peak,log_sigma_star,9.375,OIII5006,3.15240555339323e+40,4.4289827097352827e+39,5.845092685981386e+40,6,0.0,0.0
pre-peak,log_sigma_star,9.375,NII6583,2.6239888416170034e+40,1.8994329444307073e+40,3.329564740491487e+40,6,0.0,0.0
