GALID,stage,variable,bin_left,bin_right,center,N_valid,N_SF,N_ND,N_NSF
NGC4694,close-to-peak,log_sigma_star,6.75,7.0,6.875,858,0,858,0
NGC4694,close-to-peak,log_sigma_star,7.0,7.25,7.125,3483,0,3483,0
NGC4694,close-to-peak,log_sigma_star,7.25,7.5,7.375,12348,0,12348,0
NGC4694,close-to-peak,log_sigma_star,7.5,7.75,7.625,21912,0,20730,1182
NGC4694,close-to-peak,log_sigma_star,7.75,8.0,7.875,19592,0,14412,5180
NGC4694,close-to-peak,log_sigma_star,8.0,8.25,8.125,16832,27,8640,8165
NGC4694,close-to-peak,log_sigma_star,8.25,8.5,8.375,10923,126,4040,6757
NGC4694,close-to-peak,log_sigma_star,8.5,8.75,8.625,5755,287,766,4702
NGC4694,close-to-peak,log_sigma_star,8.75,9.0,8.875,2343,310,42,1991
NGC4694,close-to-peak,log_sigma_star,9.0,9.25,9.125,466,290,0,176
NGC4694,close-to-peak,log_sigma_star,9.25,9.5,9.375,26,18,0,8
NGC4694,close-to-peak,log_sigma_star,9.5,9.75,9.625,0,0,0,0
NGC4694,close-to-peak,log_sigma_star,9.75,10.0,9.875,0,0,0,0
NGC4694,close-to-peak,log_sigma_star,10.0,10.25,10.125,0,0,0,0
NGC4694,close-to-peak,log_sigma_star,10.25,10.5,10.375,0,0,0,0
NGC4694,close-to-peak,log_sigma_star,10.5,10.75,10.625,0,0,0,0
NGC4694,close-to-peak,log_sigma_star,10.75,11.0,10.875,0,0,0,0
NGC4694,close-to-peak,log_sigma_star,11.0,11.25,11.125,0,0,0,0
NGC4694,close-to-peak,radius_re,0.0,0.25,0.125,1247,550,0,697
NGC4694,close-to-peak,radius_re,0.25,0.5,0.375,3735,143,160,3432
NGC4694,close-to-peak,radius_re,0.5,0.75,0.625,6228,345,840,5043
NGC4694,close-to-peak,radius_re,0.75,1.0,0.875,8721,0,3113,5608
NGC4694,close-to-peak,radius_re,1.0,1.25,1.125,11193,20,4830,6343
NGC4694,close-to-peak,radius_re,1.25,1.5,1.375,11696,0,7255,4441
NGC4694,close-to-peak,radius_re,1.5,1.75,1.625,10307,0,8776,1531
NGC4694,close-to-peak,radius_re,1.75,2.0,1.875,9663,0,9044,619
NGC4694,close-to-peak,radius_re,2.0,2.25,2.125,8818,0,8456,362
NGC4694,close-to-peak,radius_re,2.25,2.5,2.375,6385,0,6300,85
NGC4694,close-to-peak,radius_re,2.5,2.75,2.625,5432,0,5432,0
NGC4694,close-to-peak,radius_re,2.75,3.0,2.875,4780,0,4780,0
NGC4694,close-to-peak,radius_re,3.0,3.25,3.125,4219,0,4219,0
NGC4694,close-to-peak,radius_re,3.25,3.5,3.375,1548,0,1548,0
NGC4694,close-to-peak,radius_re,3.5,3.75,3.625,546,0,546,0
NGC4694,close-to-peak,radius_re,3.75,4.0,3.875,20,0,20,0
NGC4694,close-to-peak,radius_re,4.0,4.25,4.125,0,0,0,0
NGC4694,close-to-peak,radius_re,4.25,4.5,4.375,0,0,0,0
NGC4694,close-to-peak,radius_re,4.5,4.75,4.625,0,0,0,0
NGC4694,close-to-peak,radius_re,4.75,5.0,4.875,0,0,0,0
NGC4694,close-to-peak,radius_re,5.0,5.25,5.125,0,0,0,0
NGC4694,close-to-peak,radius_re,5.25,5.5,5.375,0,0,0,0
NGC4694,close-to-peak,radius_re,5.5,5.75,5.625,0,0,0,0
NGC4694,close-to-peak,radius_re,5.75,6.0,5.875,0,0,0,0
NGC4694,close-to-peak,radius_re,6.0,6.25,6.125,0,0,0,0
NGC4694,close-to-peak,radius_re,6.25,6.5,6.375,0,0,0,0
NGC4694,close-to-peak,radius_re,6.5,6.75,6.625,0,0,0,0
NGC4694,close-to-peak,radius_re,6.75,7.0,6.875,0,0,0,0
