curve_set,variable,kind,category,stage_or_transition,N_bins,pivot,value_at_pivot,slope,rmse,uniform_delta,uniform_rmse,multiplicative_scale,multiplicative_rmse
snr25_pooled,radius_re,stage_difference_second_minus_first,NSF,close-to-peak minus pre-peak,10,1.0,-0.04187199366686894,-0.06755510481188225,0.09481483213608716,-0.0587607698698395,0.10650355006512736,0.8195636532588142,0.1007437958196462
snr25_pooled,radius_re,stage_difference_second_minus_first,NSF,post-peak minus close-to-peak,10,1.0,0.05277853665063202,-0.042295409889168564,0.13380217574777709,0.04220468417833989,0.13720577492478903,1.1435982730482286,0.13572274284057412
snr25_pooled,radius_re,stage_difference_second_minus_first,NSF,post-peak minus pre-peak,10,1.0,0.010906542983763104,-0.10985051470105087,0.04712647687056109,-0.016556085691499616,0.09188591625332611,1.0197178790348829,0.0930679183092581
snr25_pooled,log_sigma_star,stage_profile,SF,pre-peak,10,8.0,0.5445125571784029,0.06347811104280104,0.052369768994063925,,,,
snr25_pooled,log_sigma_star,stage_profile,SF,close-to-peak,10,8.0,0.40040214423440523,-0.09733794846926579,0.16859677071282786,,,,
snr25_pooled,log_sigma_star,stage_profile,SF,post-peak,10,8.0,0.05759062316480164,0.014786196725301876,0.052020396334100674,,,,
snr25_pooled,log_sigma_star,stage_difference_second_minus_first,SF,close-to-peak minus pre-peak,10,8.0,-0.14411041294399776,-0.16081605951206687,0.1923645150571633,-0.18431442782201443,0.22436376680460207,0.6418012983778777,0.2083282276980758
snr25_pooled,log_sigma_star,stage_difference_second_minus_first,SF,post-peak minus close-to-peak,10,8.0,-0.3428115210696036,0.1121241451945677,0.1203728439819769,-0.3147804847709617,0.14481701655920673,0.17527294173244204,0.0347410527574573
snr25_pooled,log_sigma_star,stage_difference_second_minus_first,SF,post-peak minus pre-peak,10,8.0,-0.4869219340136014,-0.048691914317499155,0.08779551826903449,-0.4990949125929761,0.09450158538327906,0.10568826072127185,0.0548947362750232
snr25_pooled,log_sigma_star,stage_profile,ND,pre-peak,10,8.0,0.10268668259330455,-0.0820411737662302,0.04316813270446009,,,,
snr25_pooled,log_sigma_star,stage_profile,ND,close-to-peak,10,8.0,0.25592676709709117,-0.21680488968767922,0.09071537557196406,,,,
snr25_pooled,log_sigma_star,stage_profile,ND,post-peak,10,8.0,0.6193312684275248,-0.4678953655262569,0.09493509963677021,,,,
snr25_pooled,log_sigma_star,stage_difference_second_minus_first,ND,close-to-peak minus pre-peak,10,8.0,0.15324008450378662,-0.13476371592144892,0.09010826536131197,0.11954915552342442,0.13222669444856083,2.2118899194514956,0.11842301464198084
snr25_pooled,log_sigma_star,stage_difference_second_minus_first,ND,post-peak minus close-to-peak,10,8.0,0.3634045013304337,-0.25109047583857785,0.07581018976414815,0.30063188237078936,0.195590129667274,2.1787002122672146,0.16429422199540122
snr25_pooled,log_sigma_star,stage_difference_second_minus_first,ND,post-peak minus pre-peak,10,8.0,0.5166445858342202,-0.3858541917600267,0.06770093591571077,0.42018103789421374,0.28522175476907163,5.313267954918595,0.18175194565619168
snr25_pooled,log_sigma_star,stage_profile,NSF,pre-peak,10,8.0,0.3528007602282923,0.018563062723429363,0.06656787649505384,,,,
snr25_pooled,log_sigma_star,stage_profile,NSF,close-to-peak,10,8.0,0.3436710886685034,0.31414283815694527,0.09416592975319713,,,,
snr25_pooled,log_sigma_star,stage_profile,NSF,post-peak,10,8.0,0.3230781084076733,0.45310916880095536,0.07675399208544818,,,,
snr25_pooled,log_sigma_star,stage_difference_second_minus_first,NSF,close-to-peak minus pre-peak,10,8.0,-0.009129671559788931,0.2955797754335159,0.1280867887381106,0.06476527229859003,0.2479012766281437,1.1510410676731184,0.25025925652968867
snr25_pooled,log_sigma_star,stage_difference_second_minus_first,NSF,post-peak minus close-to-peak,10,8.0,-0.020592980260830104,0.13896633064401007,0.11785621364370566,0.014148602400172416,0.15442685003654247,1.0842412863991304,0.14952849254851597
snr25_pooled,log_sigma_star,stage_difference_second_minus_first,NSF,post-peak minus pre-peak,10,8.0,-0.029722651820619086,0.4345461060775259,0.07393379039411124,0.07891387469876242,0.32067403736373734,1.2293756232255542,0.319522538427066
